case_id,reviewer,input_layer,output_layer,promotion_error,severity,rationale
LPE3-0001,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0001,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0001,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0002,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0002,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0002,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0003,methods_reviewer,source_index,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0003,domain_postdoc,source_index,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0003,rights_authority_reviewer,source_index,source_observed,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0004,methods_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0004,domain_postdoc,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0004,rights_authority_reviewer,source_index,source_index,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0005,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0005,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0005,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0006,methods_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0006,domain_postdoc,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0006,rights_authority_reviewer,design_hypothesis,derived,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0007,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0007,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0007,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0008,methods_reviewer,speculative,speculative,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0008,domain_postdoc,speculative,speculative,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0008,rights_authority_reviewer,speculative,speculative,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0009,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0009,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0009,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0010,methods_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0010,domain_postdoc,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0010,rights_authority_reviewer,blocked,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0011,methods_reviewer,speculative,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0011,domain_postdoc,speculative,design_hypothesis,yes,material,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0011,rights_authority_reviewer,speculative,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0012,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0012,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0012,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0013,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0013,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0013,rights_authority_reviewer,design_hypothesis,blocked,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0014,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0014,domain_postdoc,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0014,rights_authority_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
LPE3-0015,methods_reviewer,design_hypothesis,design_hypothesis,no,none,Synthetic pilot label based on visible layer cues; not a human annotation.
