seed_id,lane_id,opportunity_id,working_title,research_question,evidence_layer,first_artifact,falsification_gate,rights_authority_gate,product_or_lab_payoff,status,claim_ceiling,next_action
NWR-001,1,OPP-001,Azuonye appendix trace map,Which source-acquisition steps most reduce uncertainty in the Nwagu count layer,source_observed,source_acquisition_decision_note,source trail cannot locate count-relevant evidence,rights review before quoted or restricted material,unblocks source dossier and count claims,seed_only_not_paper_candidate,research_seed_not_paper_claim,resolve acquisition lead and update source note
NWR-002,1,OPP-001,Source witness inventory,Which witnesses should be treated as primary secondary or derivative for Nwagu reconstruction,source_observed,witness_inventory_table,witness categories cannot be justified from local records,metadata only until source rights are checked,stabilizes source-critical lane,seed_only_not_paper_candidate,research_seed_not_paper_claim,compile witness table from existing repo sources
NWR-003,1,OPP-001,Appendix recovery decision log,What decisions are needed before seeking or sending Appendix II material,source_observed,decision_log,decision tree omits access or rights uncertainty,send only after human approval,prevents accidental source handling drift,seed_only_not_paper_candidate,research_seed_not_paper_claim,extract unresolved source decisions into a table
NWR-004,1,OPP-009,Sign inventory uncertainty primer,Which signs can be discussed without pretending the inventory is complete,source_observed,uncertainty_primer,primer collapses uncertain signs into stable signs,authority review before visible asset reuse,sets baseline for logograph work,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft uncertainty classes from current source notes
NWR-005,1,OPP-001,Source contradiction map,Where do current Nwagu notes conflict about rows columns or labels,source_observed,contradiction_matrix,no material contradictions are found,do not overwrite source claims without review,improves wiki reliability,seed_only_not_paper_candidate,research_seed_not_paper_claim,scan WIKI and source notes for count statements
NWR-006,1,OPP-001,Provenance chain sketch,How far can each source claim be traced through repo evidence,source_observed,provenance_chain_csv,chains stop at unsourced assertions,exclude private or restricted source material,improves claim auditability,seed_only_not_paper_candidate,research_seed_not_paper_claim,link existing claims to source-note anchors
NWR-007,1,OPP-009,Gloss stability note,Which glosses are stable enough for teaching labels and which are not,source_observed,gloss_stability_note,glosses lack source anchors,authority review before public teaching use,protects public legibility,seed_only_not_paper_candidate,research_seed_not_paper_claim,inventory gloss claims from existing notes
NWR-008,1,OPP-001,Source gap heatmap,Which missing source elements block the most branches,source_observed,gap_heatmap_csv,gaps do not map to branch blockers,metadata only until source acquisition clears,prioritizes source work,seed_only_not_paper_candidate,research_seed_not_paper_claim,score source gaps by unlocked lanes
NWR-009,2,OPP-003,Authority role map,Which review roles are needed for source rights and community benefit,authority_rights,authority_role_map,roles overlap or omit required authority concerns,no real identities in repo,keeps review structure visible,seed_only_not_paper_candidate,research_seed_not_paper_claim,derive role map from existing review packets
NWR-010,2,OPP-003,Benefit risk ledger,What harms and benefits should be checked before public interpretation,authority_rights,benefit_risk_ledger,ledger cannot identify affected parties,no public assets until authority review,grounds community sovereignty,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft risk ledger with placeholders only
NWR-011,2,OPP-003,Contact minimization protocol,How can review coordination avoid storing private contact data,authority_rights,contact_minimization_protocol,protocol requires contact data in repo,no private contact data in repo,strengthens safe collaboration,seed_only_not_paper_candidate,research_seed_not_paper_claim,align protocol with EXP-FRONTIER-014
NWR-012,2,OPP-011,Community review prompts,Which review prompts let community authorities reject or bound claims,authority_rights,review_prompt_bank,prompts lead reviewers toward approval,do not send without approval,improves authority review quality,seed_only_not_paper_candidate,research_seed_not_paper_claim,draft neutral prompt bank
NWR-013,2,OPP-008,Restricted material boundary,Which material must remain internal even if metadata is shareable,authority_rights,boundary_candidate_table,boundary cannot distinguish metadata from content,no external release without boundary review,protects source material,seed_only_not_paper_candidate,research_seed_not_paper_claim,extend repository boundary candidates
