pattern,current_status,reason,allowed_without_review,validator_control,review_required_before_change
research/frontier/nwagu_aneke/primary_sources/,excluded_from_candidate_boundary,raw source layer stays in canonical source location,no,forbidden_path_fragment,rights_authority_reviewer
primary_sources/,excluded_from_candidate_boundary,prevents parallel raw-source package trees,no,forbidden_path_fragment,source_dossier_reviewer
*.pdf,excluded_from_candidate_boundary,blocks source PDFs and publication-looking binaries,no,forbidden_extension,rights_authority_reviewer
*.png,excluded_from_candidate_boundary,blocks source images and image derivatives,no,forbidden_extension,rights_authority_reviewer
*.jpg,excluded_from_candidate_boundary,blocks source images and image derivatives,no,forbidden_extension,rights_authority_reviewer
*.jpeg,excluded_from_candidate_boundary,blocks source images and image derivatives,no,forbidden_extension,rights_authority_reviewer
*.tif,excluded_from_candidate_boundary,blocks archival image derivatives,no,forbidden_extension,rights_authority_reviewer
*.tiff,excluded_from_candidate_boundary,blocks archival image derivatives,no,forbidden_extension,rights_authority_reviewer
glyph_reproductions,excluded_from_candidate_boundary,blocks reproduced glyph assets before authority review,no,forbidden_path_fragment,community_authority_reviewer
restricted_manuscript_material,excluded_from_candidate_boundary,blocks restricted manuscript content,no,forbidden_path_fragment,community_authority_reviewer
private_data,excluded_from_candidate_boundary,blocks private or identifiable material,no,forbidden_path_fragment,data_protection_reviewer
human_reader_response_csv,excluded_from_candidate_boundary,blocks unreviewed reader response records,no,forbidden_path_fragment,data_protection_reviewer
