case_id,claim_text,input_layer,output_layer,promotion_error,severity,quality_gate_status,review_question,human_domain_decision,reviewer_notes
LPE3-0006,"Nwagu Aneke is a rare case where a twentieth-century African writing artifact can support several research programs at once: historical reconstruction, digital editions, script standardization, low-resource NLP, and artifact-derived system design.",source_index,design_hypothesis,yes,minor,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0075,The study generated eight f/v records at the source layer and sixteen records after the derived split; the split therefore adds eight records.,derived,source_observed,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0096,"Zero records have reviewed pixel coordinates, so the result is a partial selector layer rather than a complete critical edition.",blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0105,"It marks script identity as present; repertoire inventory and character-glyph distinction as partial; representative glyphs, usage examples, and community authority as blocked; and encoding model, punctuation, numbers, implementation evidence, and proposal dossier as missing.",source_index,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0109,"The experiment produced a rights-safe four-record provenance ledger that distinguishes public metadata, internal chart use, catalogue leads, and the blocked reported manuscript corpus.",blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0114,The corpus itself is marked not available in the present research package with unknown rights status.,blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0134,Current State Status: ``text PASS — submittable Autoresearch score: 5.0/5 (composite across 6 dimensions) Draft: v4.1 Loop date: 2026-04-16 `` Completed iterations: 1.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0164,[Cited in canonical submission draft] **NITDA 2024 precedent:** Five Nigerian researchers on DPI sponsored to ICEGOV 2024.,source_index,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0176,Paper v3 should frame credential portability as a design principle with pending instrumentation.,blocked,design_hypothesis,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0179,No testnet deployment with real governance activity exists at time of writing.,blocked,design_hypothesis,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0180,"The values must be either: - Removed and replaced with a ""design science"" framing - Or explicitly labelled as ""hypothetical example values for illustration only"" **Unblock condition:** Paper v3 must restructure Section 6.",blocked,design_hypothesis,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0181,"**Resolution:** 2026-04-16 — Paper v3 Section 6 restructured as ""Design Science Computability Demonstration."" All indicator values explicitly labelled ILLUSTRATIVE.",blocked,blocked,no,none,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0182,DPR-01 modal participation 60–75% (validating-public-governance-quality-scale); provisional 71% illustrative value is within modal range — not arbitrary.,blocked,design_hypothesis,yes,material,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0185,"**Change**: Added one closing sentence to §7.4: ""The novelty is not blockchain applied to governance — it is governance evidence produced by communities, measured without requiring external institutional cooperation."" **Result**: Novelty 4.5 → 4.7.",design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0186,No prior paper combines Ostrom + ISO 15489 + ZK proofs for Nigerian community governance.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0188,"**4.5/5** | All 7 dimensions have: definition, formula, data source, benchmark, Goodhart risk.",design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0189,"Table mapping Ichi→identity, Akpa Oroma→payments, Truth Layer→data exchange is exactly the framing NITDA-aligned reviewers want.",design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0193,**Composite Score: 4.21/5** --- ## Required Revisions Before Submission (in order of priority) ### CRITICAL (must fix): 1.,design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0196,"**Empirical signals section**: Add at minimum: number of active workspaces, number of governance cycles completed, one anonymized case (e.g., ""Workspace A, diaspora cooperative with 34 members, completed 3 full Propose→Export cycles; RV-01 = 94%"").",design_hypothesis,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
LPE3-0201,Decision: acceptable risk given Ongoing Research category framing; more important to be specific than to hide the technical stack.,design_hypothesis,design_hypothesis,yes,minor,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0203,**Reviewer-Resistance** | 3.5 | **4.7** | ↑↑ | Three objections now explicitly addressed in Discussion: (1) transparency vs.,design_hypothesis,design_hypothesis,yes,material,needs_adjudication,"Is the layer-promotion label correct, and what adjudication note is needed?",,
LPE3-0205,**Composite Score: 4.70/5** (↑ from 4.21) --- ## Status: SUBMITTABLE v2 clears the bar for ICEGOV Track 6 Ongoing Research.,speculative,design_hypothesis,yes,blocking,blocked_public_release,"Does this row require rights, authority, or public-scope blocking before paper use?",,
