source_id,name,url,type,verified,what_it_does,relationship_to_BMC,overlap_with_BMC,gap_left_by_source,does_BMC_add_something,novelty_risk
EXT-0001,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/,standard,True,"Defines an OWL2 ontology for representing PROV entities, activities, agents, and relations.",BMC provenance activities and source derivations should align with PROV-O.,High for provenance trace shape.,Does not define Nwagu Aneke-specific count-layer gates or manuscript claim decisions.,partial,high
EXT-0002,PROV Data Model,https://www.w3.org/TR/prov-dm/,standard,True,Defines the conceptual data model underlying W3C PROV.,"BMC can map cache creation and claim gates to entities, activities, and agents.",High.,No domain-specific evidence gate for symbolic inventory reconstruction.,partial,high
EXT-0003,RO-Crate Specification 1.1,https://www.researchobject.org/ro-crate/specification/1.1/introduction.html,standard,True,"Specifies a JSON-LD research object package for datasets, software, and methods.",BMC artifacts can be packaged as a research object with metadata.,High for packaging.,Does not decide whether exact symbolic-count claims are supported.,partial,high
EXT-0004,Packaging research artefacts with RO-Crate,https://journals.sagepub.com/doi/10.3233/DS-210053,paper,True,Introduces RO-Crate as lightweight machine-readable packaging for research artifacts.,Confirms packaging itself is not novel; BMC must contribute claim-gated reconstruction beyond packaging.,Medium.,No Nwagu Aneke/PAGC count-drift audit.,partial,medium
EXT-0005,IIIF Presentation API 3.0,https://iiif.io/api/presentation/3.0/,standard,True,"Defines manifests, canvases, annotation pages, and presentation structures for digital objects.",BMC uses IIIF canvases as source locators.,High for source localization.,Does not model certainty propagation or paper-claim gates.,partial,high
EXT-0006,TEI Guidelines,https://guidelines.tei-c.de/en/html/index.html,standard,True,Provides guidelines for electronic text encoding and interchange.,BMC locators can point into TEI row/vowel inventories and cultural text transcriptions.,High for text/glyph encoding.,Does not decide publication claim readiness.,partial,high
EXT-0007,"TEI Characters, Glyphs, and Writing Modes",https://guidelines.tei-c.de/en/html/WD.html,standard,True,"Describes TEI support for nonstandard characters, glyphs, and writing modes.",Directly relevant to glyph inventory and representation gaps.,High for glyph documentation.,Does not handle PAGC count-layer contradiction or claim audit.,partial,high
EXT-0008,Web Annotation Data Model,https://www.w3.org/TR/annotation-model/,standard,True,Defines annotations as sharable body-target structures with motivations.,BMC annotation records should convert into body/target/motivation patterns.,High for annotation model.,Does not model count-layer drift or manuscript claim gates.,partial,high
EXT-0009,CIDOC CRM,https://cidoc-crm.org/,standard,True,Provides formal structures for cultural heritage documentation and integration.,"BMC KG should map source objects, actors, interpretations, and review events to cultural heritage ontology patterns.",Medium.,Does not provide a BMC/PAGC-specific audit pipeline.,partial,medium
EXT-0010,CIDOC CRM 7.1.3 Classes and Properties,https://cidoc-crm.org/cidoc-crm/,standard,True,Defines the formal ontology classes and properties of CIDOC CRM version 7.1.3.,Candidate mapping target for BMC cultural heritage graph nodes.,Medium.,No direct claim-gated publication loop.,partial,medium
EXT-0011,FAIR Principles,https://www.go-fair.org/fair-principles,documentation,True,"Explains findable, accessible, interoperable, reusable data principles and machine-actionability.",BMC release and metadata should be assessed against FAIR.,Medium.,Does not address authority and cultural source constraints alone.,partial,medium
EXT-0012,The FAIR Guiding Principles for scientific data management and stewardship,https://www.nature.com/articles/sdata201618,paper,True,Original FAIR principles paper.,BMC should improve machine-actionable evidence and reuse metadata.,Medium.,No symbolic count-drift case study.,partial,medium
EXT-0013,DataCite Metadata Schema 4.6,https://schema.datacite.org/meta/kernel-4.6/,standard,True,Documents metadata for publication and citation of research data and outputs.,BMC release metadata can use DataCite-style citation fields.,Medium.,No claim gate or cultural authority decision.,partial,medium
EXT-0014,arXiv TeX Live support,https://info.arxiv.org/help/faq/texlive.html,documentation,True,Documents arXiv-supported TeX Live versions and processors.,Selected paper source package must compile under supported arXiv constraints.,Low.,No domain research guidance.,no,low
EXT-0015,arXiv Submission Overview,https://info.arxiv.org/help/submit/index.html,documentation,True,Describes submission workflow and source package expectations.,BMC paper packaging must pass local preflight and avoid unnecessary source disclosure.,Low.,No BMC-specific gate.,no,low
EXT-0016,ACM Submissions,https://www.acm.org/publications/authors/submissions,documentation,True,"Provides ACM author submission template guidance, including single-column acmart manuscript mode.",Selected manuscript uses acmart manuscript format.,Low.,No BMC research contribution guidance.,no,low
