key,title,year,category,confidence,status,notes
T11-C,Governing the Commons,1990,foundational,5,vetted,Ostrom polycentric governance anchor
T11-H,Psychological Perspectives on Legitimacy,2006,foundational,5,vetted,procedural legitimacy anchor
T11-I,The Legitimation of Power,1991,foundational,5,vetted,legitimacy theory
T11-J,Managing Legitimacy,1995,foundational,5,vetted,organizational legitimacy theory
T11-B,Global Digital Data Governance: Polycentric Perspectives,2024,recent,5,vetted,digital/data governance bridge
T11-A,Informal Governance for Urban Sustainability in Sub-Saharan Africa,2024,recent,4,vetted,informal governance frame
T11-E,Contributions of Town Unions Administration on Rural Development in Southeast Nigeria,2023,regional,4,vetted,empirical town union source
T11-F,Repositioning Town Unions as the Fourth-Tier of Government in South East Nigeria,2024,regional,3,vetted,COVID/fourth-tier argument
T11-U,Town Unions and Community Development in South East Nigeria,2018,regional,4,vetted,selected communities in Imo State
T11-V,The Town Union as an Alternative to Local Government in Nigeria: A Critical Assessment,2011,critique,4,vetted,critical/accountability balance
