atlas_id,project,source_url,source_type,authority_level,verified_status,claim_ceiling,relevance_summary
ATLAS-0049,Inspect AI,https://inspect.aisi.org.uk/,primary_source,official_documentation,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official documentation frames Inspect as a frontier AI evaluation framework with datasets agents tools and scorers
ATLAS-0049,Inspect AI,https://github.com/UKGovernmentBEIS/inspect_ai,primary_source,official_repository,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official repository confirms Inspect as an evaluation framework with reusable components and documentation
ATLAS-0049,Inspect AI,https://www.aisi.gov.uk/blog/inspect-evals,primary_source,official_service,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official AISI announcement confirms Inspect Evals are built on Inspect AI
ATLAS-0052,MLAgentBench,https://arxiv.org/abs/2310.03302,primary_source,primary_paper,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Primary paper introduces MLAgentBench as language-agent evaluation for machine-learning experimentation tasks
ATLAS-0052,MLAgentBench,https://github.com/snap-stanford/MLAgentBench,primary_source,official_repository,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official repository describes end-to-end ML experimentation tasks for benchmarking AI agents
ATLAS-0039,RO-Crate,https://www.researchobject.org/specs/,primary_source,official_documentation,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Research Object specification page frames RO-Crate as lightweight packaging of research data with metadata
ATLAS-0039,RO-Crate,https://github.com/ResearchObject/ro-crate,primary_source,official_repository,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official repository coordinates the RO-Crate specification and documentation source
ATLAS-0040,DataLad,https://docs.datalad.org/,primary_source,official_documentation,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official technical documentation frames DataLad as a data management and publication multitool
ATLAS-0040,DataLad,https://handbook.datalad.org/,primary_source,official_documentation,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official handbook supports practical use of DataLad across data management workflows
ATLAS-0043,Software Heritage,https://www.softwareheritage.org/,primary_source,official_service,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official site frames Software Heritage as a universal source-code archive with Save Code Now and research software archiving
ATLAS-0043,Software Heritage,https://docs.softwareheritage.org/devel/swh-model/persistent-identifiers.html,primary_source,official_documentation,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official documentation defines SWHIDs as stable identifiers for archived software objects
ATLAS-0043,Software Heritage,https://www.softwareheritage.org/how-to-archive-reference-code/,primary_source,official_documentation,relevance_verified_not_novelty_clearance,prior_art_relevance_not_frontier_claim,Official guidance describes Save Code Now and referencing archived code
