evidence_id,claim_or_observation,evidence_type,source_path,locator,support_strength,reconstruction_effect,limitation
NA-EV-001,Azuonye 1992 is the primary academic source anchor for Nwagu Aneke research.,source_file,research/pagc/primary_sources/nwagu_aneke/azuonye_1992.pdf,local PDF present; external ScholarWorks metadata verified in prior_art_scan,strong_metadata_medium_content,usable_primary_anchor_but_needs_line_level_pdf_extraction,PDF text is not parsed in this experiment; appendix claims rely on prior local transcription and audits.
NA-EV-002,The local chart transcription records 26 printed consonant rows.,transcription,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,line 71,strong,source_observed_row_layer,manual transcription requires independent human review
NA-EV-003,The local chart transcription records 8 vowel columns.,transcription,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,line 31,strong,source_observed_column_layer,manual transcription requires independent human review
NA-EV-004,The f/v label is one printed row and is the source of the 26-vs-27 distinction.,transcription,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,line 47,strong,derived_layer_boundary,phonological interpretation requires Igbo/Umuleri review
NA-EV-005,The visible chart transcription records about 30 full-word symbols.,transcription,research/pagc/primary_sources/nwagu_aneke/CHART_TRANSCRIPTION.md,line 134,moderate,separate_logograph_inventory_needed,full logograph corpus may exceed visible chart and requires manuscript access
NA-EV-006,The source audit says the matrix may be a display convention rather than inherent grammar.,audit,research/pagc/primary_sources/nwagu_aneke/SOURCE_AUDIT.md,line 52,medium,blocks_generative_grammar_overclaim,audit includes web-search-derived synthesis and should be rechecked against Azuonye text
NA-EV-007,"Structured symbol inventory contains row labels and vowel columns, but no glyph-level cell transcription.",structured_inventory,artifacts/nwagu_aneke/symbol_inventory.jsonl,"36 records; by_type={'aggregate': 2, 'row_label': 26, 'vowel_column': 8}",strong_for_labels_weak_for_glyphs,source_label_inventory_reconstructable,glyph forms and coordinates remain absent from symbol_inventory.jsonl
NA-EV-008,"BMC has 208 row-vowel records, all needing human review and lacking source-region coordinates.",generated_structured_cache,corpus/base_modifier_cache.jsonl,records=208; review={'human_review_needed': 208}; source_region={'not_annotated': 208},strong_for_row_vowel_grid_weak_for_glyph_substrate,source_grid_reconstructable_as_index_not_glyph_corpus,not a completed glyph transcription substrate
NA-EV-009,The count reconciliation decision is MULTI_LAYER_COUNT_VALID.,decision_record,corpus/bmc_count_reconciliation.json,decision=MULTI_LAYER_COUNT_VALID,strong_internal_decision,article_must_separate_source_and_derived_counts,public article still needs independent source review
NA-EV-010,"The base-count audit records 26, 8, 208, derived 27/216, and external 164/224 leads.",audit,artifacts/nwagu_aneke/base_count_audit.md,line 5,strong_for_internal_taxonomy,expands_article_from_26_27_to_count_layer_taxonomy,164/224 remain external C2 leads until locally archived and line-verified
NA-EV-011,Omniglot local HTML is available as a secondary page for syllabary/logograph features.,secondary_source_snapshot,research/pagc/primary_sources/nwagu_aneke/omniglot_nwaguaneke.html,line 61,medium,supports_public_description_but_not_primary_claims,secondary web source; should not override Azuonye/manuscript evidence
NA-EV-012,"External standards review identifies Unicode, TEI, and IIIF as relevant methods for future articles.",prior_art_scan,research_goals/nwagu_aneke_articles/prior_art_scan.md,line 19,medium,supports_follow_on_digitization_and_encoding_articles,standards mapping is not evidence about Nwagu Aneke structure
