path,candidate_status,evidence_layer,rights_risk,inclusion_reason,external_release_now,approval_required,validator_expected
research/frontier/nwagu_aneke/claim_layer_fixtures.jsonl,candidate_internal_metadata_only,method_infrastructure,low,non-sensitive layer fixture records,no,boundary_review,path_exists_and_no_restricted_fragment
research/frontier/nwagu_aneke/interfaces/count_layer_data_to_view_map.jsonl,candidate_internal_metadata_only,interface_metadata,low,non-sensitive data-to-view mapping,no,boundary_review,path_exists_and_no_restricted_fragment
research/frontier/nwagu_aneke/interfaces/count_layer_view_outline.md,candidate_internal_metadata_only,interface_outline,low,layer-separation interface outline,no,boundary_review,path_exists_and_no_restricted_fragment
research/frontier/nwagu_aneke/interfaces/usability/README.md,candidate_internal_metadata_only,reader_protocol,low,protocol index without response data,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-007-inspect-ai-lpe-port/manifest.json,candidate_internal_metadata_only,eval_harness_metadata,low,Inspect port manifest without model run,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-007-inspect-ai-lpe-port/execution_gate/execution_decision.json,candidate_internal_metadata_only,approval_gate,low,pending execution decision,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-007-inspect-ai-lpe-port/execution_gate/review/review_manifest.json,candidate_internal_metadata_only,approval_gate_review,low,Inspect execution gate review manifest,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-007-inspect-ai-lpe-port/execution_gate/review/EXECUTION_GATE_REVIEW.md,candidate_internal_metadata_only,approval_gate_review,low,Inspect execution gate review note,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-009-mlagentbench-keep-reject-loop/manifest.json,candidate_internal_metadata_only,agent_eval_design,low,MLAgentBench keep-reject design manifest,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-009-mlagentbench-keep-reject-loop/KEEP_REJECT_LOOP_DESIGN.md,candidate_internal_metadata_only,agent_eval_design,low,MLAgentBench keep-reject design note,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-009-mlagentbench-keep-reject-loop/task_cards.csv,candidate_internal_metadata_only,agent_eval_design,low,MLAgentBench keep-reject task cards,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-009-mlagentbench-keep-reject-loop/decision_schema.json,candidate_internal_metadata_only,agent_eval_design,low,MLAgentBench decision schema,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-009-mlagentbench-keep-reject-loop/negative_control.md,candidate_internal_metadata_only,agent_eval_design,low,MLAgentBench negative control,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-010-datalad-no-conversion-decision/manifest.json,candidate_internal_metadata_only,preservation_decision,low,DataLad no-conversion decision manifest,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-010-datalad-no-conversion-decision/NO_CONVERSION_DECISION.md,candidate_internal_metadata_only,preservation_decision,low,DataLad no-conversion decision note,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-010-datalad-no-conversion-decision/conversion_blockers.csv,candidate_internal_metadata_only,preservation_decision,low,DataLad conversion blockers table,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-010-datalad-no-conversion-decision/future_readiness_checklist.json,candidate_internal_metadata_only,preservation_decision,low,DataLad future readiness checklist,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-011-software-heritage-no-identifier-decision/manifest.json,candidate_internal_metadata_only,preservation_decision,low,Software Heritage no-identifier decision manifest,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-011-software-heritage-no-identifier-decision/NO_ARCHIVE_IDENTIFIER_DECISION.md,candidate_internal_metadata_only,preservation_decision,low,Software Heritage no-identifier decision note,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-011-software-heritage-no-identifier-decision/archive_blockers.csv,candidate_internal_metadata_only,preservation_decision,low,Software Heritage archive blockers table,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-011-software-heritage-no-identifier-decision/future_readiness_checklist.json,candidate_internal_metadata_only,preservation_decision,low,Software Heritage future readiness checklist,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/preservation_decision/decision.json,candidate_internal_metadata_only,preservation_decision,low,machine-readable preservation route,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/preservation_decision/PRESERVATION_DECISION.md,candidate_internal_metadata_only,preservation_decision,low,human-readable preservation route,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/preservation_decision/decision_matrix.csv,candidate_internal_metadata_only,preservation_decision,low,preservation route comparison,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/preservation_decision/deferred_actions.md,candidate_internal_metadata_only,preservation_decision,low,no-action preservation record,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/boundary_review.json,candidate_internal_metadata_only,dataset_boundary,low,machine-readable boundary status,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/DATASET_BOUNDARY_CHECKLIST.md,candidate_internal_metadata_only,dataset_boundary,low,human-readable boundary checklist,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/candidate_files.csv,candidate_internal_metadata_only,dataset_boundary,low,candidate boundary table,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/excluded_files.csv,candidate_internal_metadata_only,dataset_boundary,low,excluded boundary table,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/reviewer_roles.csv,candidate_internal_metadata_only,dataset_boundary,low,boundary reviewer table,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/validator_controls.json,candidate_internal_metadata_only,dataset_boundary,low,boundary validator controls,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/review_gate/review_gate.json,candidate_internal_metadata_only,boundary_review_gate,low,pending review-gate status,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/review_gate/REVIEW_GATE.md,candidate_internal_metadata_only,boundary_review_gate,low,human-facing review gate,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/review_gate/review_requests.csv,candidate_internal_metadata_only,boundary_review_gate,low,one pending request per reviewer role,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/review_gate/review_trace_template.jsonl,candidate_internal_metadata_only,boundary_review_gate,low,non-approval review trace template,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/review_gate/decision_record_template.json,candidate_internal_metadata_only,boundary_review_gate,low,non-approval decision template,no,boundary_review,path_exists_and_no_restricted_fragment
experiments/EXP-FRONTIER-008-nwagu-ro-crate/dataset_boundary/review_gate/intake/review_intake_manifest.json,candidate_internal_metadata_only,boundary_review_intake,low,review intake manifest with no reviews collected,no,boundary_review,path_exists_and_no_restricted_fragment
