source_id,name,quality,relationship_to_BMC,overlap_with_BMC,gap_left_by_source,novelty_risk,url
EXT-0001,PROV-O: The PROV Ontology,primary,BMC provenance activities and source derivations should align with PROV-O.,High for provenance trace shape.,Does not define Nwagu Aneke-specific count-layer gates or manuscript claim decisions.,high,https://www.w3.org/TR/prov-o/
EXT-0002,PROV Data Model,primary,"BMC can map cache creation and claim gates to entities, activities, and agents.",High.,No domain-specific evidence gate for symbolic inventory reconstruction.,high,https://www.w3.org/TR/prov-dm/
EXT-0003,RO-Crate Specification 1.1,primary,BMC artifacts can be packaged as a research object with metadata.,High for packaging.,Does not decide whether exact symbolic-count claims are supported.,high,https://www.researchobject.org/ro-crate/specification/1.1/introduction.html
EXT-0004,Packaging research artefacts with RO-Crate,primary,Confirms packaging itself is not novel; BMC must contribute claim-gated reconstruction beyond packaging.,Medium.,No Nwagu Aneke/PAGC count-drift audit.,medium,https://journals.sagepub.com/doi/10.3233/DS-210053
EXT-0005,IIIF Presentation API 3.0,primary,BMC uses IIIF canvases as source locators.,High for source localization.,Does not model certainty propagation or paper-claim gates.,high,https://iiif.io/api/presentation/3.0/
EXT-0006,TEI Guidelines,primary,BMC locators can point into TEI row/vowel inventories and cultural text transcriptions.,High for text/glyph encoding.,Does not decide publication claim readiness.,high,https://guidelines.tei-c.de/en/html/index.html
EXT-0007,"TEI Characters, Glyphs, and Writing Modes",primary,Directly relevant to glyph inventory and representation gaps.,High for glyph documentation.,Does not handle PAGC count-layer contradiction or claim audit.,high,https://guidelines.tei-c.de/en/html/WD.html
EXT-0008,Web Annotation Data Model,primary,BMC annotation records should convert into body/target/motivation patterns.,High for annotation model.,Does not model count-layer drift or manuscript claim gates.,high,https://www.w3.org/TR/annotation-model/
EXT-0009,CIDOC CRM,primary,"BMC KG should map source objects, actors, interpretations, and review events to cultural heritage ontology patterns.",Medium.,Does not provide a BMC/PAGC-specific audit pipeline.,medium,https://cidoc-crm.org/
EXT-0010,CIDOC CRM 7.1.3 Classes and Properties,primary,Candidate mapping target for BMC cultural heritage graph nodes.,Medium.,No direct claim-gated publication loop.,medium,https://cidoc-crm.org/cidoc-crm/
EXT-0011,FAIR Principles,primary,BMC release and metadata should be assessed against FAIR.,Medium.,Does not address authority and cultural source constraints alone.,medium,https://www.go-fair.org/fair-principles
EXT-0012,The FAIR Guiding Principles for scientific data management and stewardship,primary,BMC should improve machine-actionable evidence and reuse metadata.,Medium.,No symbolic count-drift case study.,medium,https://www.nature.com/articles/sdata201618
EXT-0013,DataCite Metadata Schema 4.6,primary,BMC release metadata can use DataCite-style citation fields.,Medium.,No claim gate or cultural authority decision.,medium,https://schema.datacite.org/meta/kernel-4.6/
EXT-0014,arXiv TeX Live support,primary,Selected paper source package must compile under supported arXiv constraints.,Low.,No domain research guidance.,low,https://info.arxiv.org/help/faq/texlive.html
EXT-0015,arXiv Submission Overview,primary,BMC paper packaging must pass local preflight and avoid unnecessary source disclosure.,Low.,No BMC-specific gate.,low,https://info.arxiv.org/help/submit/index.html
EXT-0016,ACM Submissions,primary,Selected manuscript uses acmart manuscript format.,Low.,No BMC research contribution guidance.,low,https://www.acm.org/publications/authors/submissions
EXT-0017,Karpathy autoresearch,primary,BMC adapts autoresearch from validation loss to paper-readiness gain.,Medium for loop concept.,"Focused on ML training, not scholarly evidence or cultural artifacts.",medium,https://github.com/karpathy/autoresearch
EXT-0018,The Nwagu Aneke Igbo Script,primary,Core domain source for BMC count-layer reconstruction.,High for artifact source layer.,Does not provide BMC/claim-gated digital pipeline.,low,https://scholarworks.umb.edu/africana_faculty_pubs/13/
EXT-0019,Nwagụ Aneke Syllabary,secondary,Secondary/source locator for chart-level BMC audit.,Medium.,Not a formal provenance/claim-gating method.,low,https://www.omniglot.com/writing/nwaguaneke.htm
EXT-0020,"Manuscript Linking, Comparison, and Visual Annotation with IIIF",primary,Shows manuscript annotation with IIIF is established.,Medium.,Does not integrate BMC count-layer gates and arXiv manuscript claim audit.,medium,https://www.tandfonline.com/doi/abs/10.1080/02614340.2022.2223439
EXT-0021,Nahua Glyphs project,secondary,Shows digital glyph inventory projects exist.,Medium for glyph inventory.,No BMC/PAGC count-layer claim gate.,medium,https://blogs.uoregon.edu/nahuaglyphs/
EXT-0022,Polyvocal Knowledge Modelling for Ethnographic Heritage Object Provenance,primary,"Important prior art for culturally sensitive, multi-interpretation provenance.",Medium.,Does not focus on symbolic inventory count drift or manuscript claim gates.,medium,https://journals.sagepub.com/doi/10.3233/SSW230010
EXT-0023,Rongorongo Research Platform,secondary,Prior-art risk for glyph inventory platforms.,Medium.,No standards-comparison paper-gating loop.,medium,https://rongorongo.top/about
EXT-0024,Glyph-aware Embedding of Chinese Characters,primary,Shows glyph-based computational representation is established in NLP.,Low-to-medium.,Not a cultural heritage claim-gated reconstruction system.,low,https://arxiv.org/abs/1709.00028
