requirement,passed,evidence,gap
SOTA-01 decision trace has >=5 decisions,True,decisions/decision_log.jsonl,
SOTA-01 every decision has required trace fields,True,decisions/decision_log.jsonl,
SOTA-01 approval/legal decision is represented,True,decisions/decision_log.jsonl,
SOTA-02 provenance graph has entities,True,provenance/prov_graph.jsonld,
SOTA-02 provenance graph has activities,True,provenance/prov_graph.jsonld,
SOTA-02 provenance graph has agent association,True,provenance/prov_graph.jsonld,
SOTA-03 RO-Crate has root dataset,True,ro_crate/ro-crate-metadata.json,
SOTA-03 RO-Crate has file parts,True,ro_crate/ro-crate-metadata.json,
SOTA-03 RO-Crate file checksums match,True,ro_crate/ro-crate-metadata.json,
SOTA-04 IIIF manifest is a Manifest with canvases,True,artifacts/nwagu_aneke/iiif/manifest.json,
SOTA-04 TEI parses as XML,True,artifacts/nwagu_aneke/tei/nwagu_aneke_working_dossier.xml,
SOTA-04 TEI includes row and vowel inventories,True,artifacts/nwagu_aneke/tei/nwagu_aneke_working_dossier.xml,
SOTA-05 glyph annotation seeds 26 row labels,True,annotations/nwagu_aneke/glyph_annotations.jsonl,
SOTA-05 cell grid seeds 208 row-column cells,True,annotations/nwagu_aneke/cell_grid_todo.jsonl,
SOTA-05 annotation records carry review status,True,annotations/nwagu_aneke/glyph_annotations.jsonl,
SOTA-06 systematic review has >=2 protocols,True,systematic_reviews/review_protocols.jsonl,
SOTA-06 protocols include queries/inclusion/exclusion,True,systematic_reviews/review_protocols.jsonl,
SOTA-07 certainty records cover corpus claims,True,certainty/evidence_certainty.jsonl,
SOTA-07 certainty scores are bounded,True,certainty/evidence_certainty.jsonl,
SOTA-08 lineage tracks >=5 datasets/artifacts,True,lineage/data_lineage.jsonl,
SOTA-08 lineage checksums match current files,True,lineage/data_lineage.jsonl,
SOTA-09 experiment registry tracks >=4 runs,True,experiment_tracking/runs.jsonl,
SOTA-09 experiment records include status and artifacts,True,experiment_tracking/runs.jsonl,
SOTA-10 knowledge graph has nodes and relations,True,knowledge_graph/etisiobi_kg.jsonld,
SOTA-10 KG links PAGC to Nwagu Aneke,True,knowledge_graph/etisiobi_kg.jsonld,
SOTA-11 observability has >=5 spans,True,observability/agent_trace.jsonl,
SOTA-11 spans share a trace id,True,observability/agent_trace.jsonl,
SOTA-12 authority register has approval record,True,authority/approval_register.jsonl,
SOTA-12 approval records research approval and legal consent,True,authority/approval_register.jsonl,
SOTA-13 benchmark registry has >=2 benchmarks,True,benchmarks/benchmark_registry.jsonl,
"SOTA-13 benchmarks define baselines, metrics, data requirements",True,benchmarks/benchmark_registry.jsonl,
SOTA-14 release manifest files exist and checksums match,True,release/release_manifest.json,
SOTA-14 citation and DataCite metadata exist,True,CITATION.cff; release/datacite_metadata.json,
