article_candidate,atlas_id,claim_ceiling,experiment,frontier_loop_score,negative_control,phase_gate,prior_art_status,project,rights_risk,score_reasons,source_family
Can AI Preserve Evidence Layers?,ATLAS-0049,"eval harness, not model claim",port LPE-Bench to Inspect-style evals,97.0,manual prompt batch,begin_now,seeded_from_attachment_requires_verification,Inspect AI,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; benchmark_or_eval_family:8; prior_art_unverified:-6,model evaluation
Benchmarking AI Research Agents on Evidence Scarcity,ATLAS-0052,"agent evaluation, not research result",define keep/reject loops for LPE and glyph tasks,97.0,unscored agent notes,begin_now,seeded_from_attachment_requires_verification,MLAgentBench,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; benchmark_or_eval_family:8; prior_art_unverified:-6,agent experimentation benchmark
RO-Crate for Source-Critical Script Research,ATLAS-0039,"packaging, not clearance",package non-sensitive benchmark metadata as RO-Crate,95.0,zip of files,begin_now,seeded_from_attachment_requires_verification,RO-Crate,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; reproducibility_family:6; prior_art_unverified:-6,research object packaging
Versioned Hypotheses for Nwagụ Aneke,ATLAS-0040,"reproducibility, not evidence truth",track count-model changes and affected papers,95.0,manual changelog only,begin_now,seeded_from_attachment_requires_verification,DataLad,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; reproducibility_family:6; prior_art_unverified:-6,data versioning
Preserving Nwagụ Research Software,ATLAS-0043,"software provenance, not scientific validity",map benchmark scripts to preservation identifiers,95.0,local script only,begin_now,seeded_from_attachment_requires_verification,Software Heritage,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; reproducibility_family:6; prior_art_unverified:-6,software preservation
Workflow Standards for Nwagụ OCR,ATLAS-0004,"pipeline reproducibility, not recognition accuracy",run empty pipeline validation over chart metadata,89.0,manual one-off transcription,begin_now,seeded_from_attachment_requires_verification,OCR-D,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,OCR workflow infrastructure
CIDOC CRM for Nwagụ Evidence Chains,ATLAS-0032,"ontology mapping, not historical proof",map chart transcription as interpretation event,89.0,untyped provenance strings,begin_now,seeded_from_attachment_requires_verification,CIDOC CRM,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,cultural heritage ontology
Pre-Writing Knowledge Curation for Artifact Research,ATLAS-0051,"curation quality, not proof",run pre-writing research before article claims,89.0,paper-first drafting,begin_now,seeded_from_attachment_requires_verification,STORM,low,phase_gate=begin_now:30; rights_risk=low:22; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,research knowledge curation
Human-Corrected OCR for an Underdocumented Igbo Script,ATLAS-0001,"OCR usefulness, not complete decipherment",train a tiny recognizer on reviewed cells and measure error by row/column,77.0,shuffled row/column labels with same crops,begin_now,seeded_from_attachment_requires_verification,Kraken,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,historical handwriting recognition
A Transcription Flywheel for Nwagụ Aneke,ATLAS-0002,"workflow efficiency, not source truth",simulate transcription rounds and measure disagreement reduction,77.0,static spreadsheet with no feedback loop,begin_now,seeded_from_attachment_requires_verification,eScriptorium,medium,phase_gate=begin_now:30; rights_risk=medium:10; negative_control_present:12; claim_ceiling_present:12; article_candidate_present:6; experiment_defined:8; bounded_required_evidence:5; prior_art_unverified:-6,historical handwriting recognition
