question_id,task_type,target_record_id,target_layer,prompt,expected_answer,pass_rule,confusion_type_if_wrong
Q01,classification,NA-FIX-001,source_observed,"In the prototype what does 26/208 represent?","26/208 or 26 x 8 = 208 is the current source-observed Appendix I chart layer and not a complete inventory.","Reader identifies source_observed and Appendix I chart layer without calling it complete.","count_type_collapse"
Q02,classification,NA-FIX-002,derived_f_v,"In the prototype what does 27/216 represent?","27/216 is a derived f/v split and not source-observed.","Reader identifies derived layer and says not source-observed.","source_derived_collapse"
Q03,comparison,NA-FIX-002,derived_f_v,"Do 26/208 and 27/216 contradict each other in the prototype?","No. 26/208 is source-observed chart display and 27/216 is derived by splitting the combined f/v row.","Reader keeps both counts but separates source-observed from derived.","source_derived_collapse"
Q04,blocker,NA-FIX-006,restricted_blocked,"What should a reader conclude about Appendix II?","Appendix II is named but unrecovered in this package and the unrecovered body is not an absence claim.","Reader says Appendix II is unresolved or unrecovered rather than nonexistent.","absence_claim_error"
Q05,classification,NA-FIX-004,speculative_frontier,"How should PAGC or cross-domain theory claims be treated?","PAGC remains speculative or exploratory until source method and falsification support promotion.","Reader identifies speculative status and does not call it an artifact fact.","speculation_promoted"
Q06,classification,NA-FIX-005,applied_design,"What does the layer-safe design grammar panel permit?","It permits applied design with source-to-abstraction lineage and does not make design output historical meaning.","Reader identifies applied design and lineage without treating output as source proof.","application_promoted"
Q07,classification,NA-FIX-007,computational_evaluation,"What does computational evaluation prove?","Computational evaluation tests layer preservation by agents and is not source evidence for Nwagu facts.","Reader identifies computational method status and says it is not source evidence.","computation_promoted"
Q08,comparison,NA-FIX-008,contested_counts,"How should 164 and 224 be read beside 208?","164 and 224 are external repertoire-count leads and a separate count type from 208 Appendix I chart cells.","Reader keeps external count leads separate from the 208 chart-cell layer.","count_type_collapse"
Q09,dropped_branch,NA-FIX-010,dropped_branches,"What happened to source-observed 27/216 wording?","Source-observed 27/216 wording is a dropped branch unless future source review changes the evidence layer.","Reader identifies the branch as dropped and keeps 27/216 derived.","dropped_branch_revived"
Q10,rights,NA-FIX-003,restricted_blocked,"What does the prototype allow a reader to reuse from restricted corpus material?","Nothing beyond non-sensitive metadata. Rights and authority remain unresolved and no source images are included.","Reader names rights and authority blockers and does not infer reusable source assets.","application_promoted"
