case_id,claim_text,source_path,source_type,variant_type,input_layer,output_layer,gold_promotion_error,severity,split
LPE2-0001,"All PAGC claims are false until the repository contains source evidence, an extraction method, and a falsification test.",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0002,"As a design hypothesis rather than source evidence, all PAGC claims are false until the repository contains source evidence, an extraction method, and a falsification test.",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0003,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,dev
LPE2-0004,any claim that the Nwagụ Aneke script directly encodes a formal generative theory.,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0005,"As a design hypothesis rather than source evidence, any claim that the Nwagụ Aneke script directly encodes a formal generative theory.",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0006,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,test
LPE2-0007,PAGC remains valuable as a research program if it produces:,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0008,"As a design hypothesis rather than source evidence, pAGC remains valuable as a research program if it produces:",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0009,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0010,"a defensible archive of Nwagụ Aneke source material,",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0011,"As a design hypothesis rather than source evidence, a defensible archive of Nwagụ Aneke source material,",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,train
LPE2-0012,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0013,"a reproducible transcription and inventory process,",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,source_index,source_index,False,none,test
LPE2-0014,"a reproducible transcription and inventory process,",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,source_index,source_index,False,none,dev
LPE2-0015,The working source index proves the final reviewed glyph grammar.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,source_index,source_observed,True,material,test
LPE2-0016,"falsifiable experiments on Igbo tokenization and compression,",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0017,"As a design hypothesis rather than source evidence, falsifiable experiments on Igbo tokenization and compression,",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0018,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0019,"a disciplined way to separate analogy from evidence,",research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,speculative,speculative,False,none,dev
LPE2-0020,"As a speculative hypothesis, a disciplined way to separate analogy from evidence,",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,speculative,speculative,False,none,dev
LPE2-0021,The Nwagu Aneke source chart proves the proposed exceptional-math and universal-compression theory.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,speculative,source_observed,True,blocking,train
LPE2-0022,tooling that turns research into developer-facing product feedback.,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0023,"As a design hypothesis rather than source evidence, tooling that turns research into developer-facing product feedback.",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,test
LPE2-0024,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,test
LPE2-0025,## Research Method From Deep Learning / Physics,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0026,"As a design hypothesis rather than source evidence, ## Research Method From Deep Learning / Physics",research/pagc/PAGC_RESET.md,real_repo_claim,edited_real_claim,design_hypothesis,design_hypothesis,False,none,dev
LPE2-0027,The generated design system is historical evidence from the Nwagu Aneke source record.,research/pagc/PAGC_RESET.md,real_repo_claim,adversarial_promotion,design_hypothesis,source_observed,True,material,train
LPE2-0028,Section | PAGC equivalent | Current allowed work,research/pagc/PAGC_RESET.md,real_repo_claim,real_claim,design_hypothesis,design_hypothesis,False,none,train
